metroscuadradostotales,precio,titulo,latitud,longitud,preciomt2,categoria
480,565000,Arrecife - Punta Mocoli Design By Jannina Cabal,-2.115345389952465,-79.85616255437014,1177.0833333333333,A
400,370000,Vendo Casa Moderna de Estreno en Isla Mocoli,-2.102442901125957,-79.8670732875496,925.0,B
244,140000,Venta de Casa Cdla. del Biess Remodelada - Sector Sur de Guayaquil,-2.230328339537673,-79.90216345507815,573.7704918032787,B
1,259000,Se Vende Proyecto en Isla Celeste Reserva Solo con 10.000!,-2.071613787296468,-79.84206462327882,259000.0,A
245,245000,Isla Celeste 243 m² Const y 225 m² Terreno Hermoso Diseño Venta Directa,-2.07941565850068,-79.83799314794919,1000.0,B
1090,650000,"Casa 1 Planta Al Lago - 4 D - $650,000",-2.142225517676877,-79.86459564013671,596.3302752293578,B
580,425000,"Samborondon Km 4 - Urb San Isidro - Casa 3 Dorm. - Us$425,000",-2.1190084,-79.86893909999998,732.7586206896551,B
505,450000,Vendo Casa Moderna de Estreno Isla Mocoli Al Lago,-2.100170754475629,-79.86166656434631,891.0891089108911,B
240,280000,Vendo Casa Portón de Lomas Urdesa (Costabienes),-2.1590432,-79.90947510000001,1166.6666666666667,A
170,175000,"Venta de Casa, Vía a Samborondon Km 1 Planta Baja",-2.1447394,-79.8644152,1029.4117647058824,A
319,367000,Casa en Venta en Estancias del Rio,-2.0625285,-79.8773438,1150.4702194357367,A
593,682000,"Casa en Proyecto - con Vista Al Lago - Us$682,000",-2.075796462183973,-79.87261044340823,1150.0843170320404,A
186,215000,Hermosa Casa en Venta Urb. Arcadia - 3 Dorm. 215.000$,-2.1858452,-80.00230959999999,1155.9139784946237,A
570,495000,Isla Mocoli - 4 Dorm. - Jardines Interiores - Piscina,-2.102442901125957,-79.8670732875496,868.421052631579,B
189,225000,"Casa en Venta - Km 14 - 3d - $225,000",-2.189967667128228,-80.00195052012941,1190.4761904761904,A
480,395000,Isla Mocoli - 4 Dorm.,-2.103258580671302,-79.85977828919982,822.9166666666666,B
461,490000,"Proyecto Nuevo - Casa de 4 Dorm. - Us$490,000",-2.111447708039338,-79.85661246826169,1062.9067245119306,A
83,79990,"Vendo Casa de Estreno Urbanizacion Villa Italia, Excelente Ubicacion!",-2.059290948246912,-79.92583201531374,963.7349397590361,B
405,454000,"Urb Pacifica - Isla Mocoli - Casa en Proyecto - Us$454,000",-2.1043031,-79.86048310000001,1120.9876543209878,A
410,440000,Isla Mocoli Urb. Pacifica - 4 Dorm.,-2.104158358380436,-79.86055015522538,1073.1707317073171,A
600,320000,Casa en Venta. Una Sola Planta 275.72 m² de Construcción. Ceibos Calle 2da,-2.168558934023446,-79.9392657095093,533.3333333333334,B
767,500000,Casa - Samborondón,-2.0868532,-79.8709837,651.8904823989569,B
250,238000,Vendo Casa Ciudad Celeste Moderna por Estrenar,-2.07179360121206,-79.84207850322787,952.0,B
400,350000,Isla Mocoli Vendo Hermosa Casa Moderna de Estreno,-2.104158358380436,-79.86055015522538,875.0,B
180,155000,Casa en Venta Via a La Costa Km 22 Urb Costa Real 4 Dorm.,-2.201378,-80.06030279999999,861.1111111111111,B
550,380000,Casa en Venta - 4d - Santa Cecilia - $380.000,-2.162087802779203,-79.94190992366487,690.9090909090909,B
160,150000,Vendo Casa Colinas de Los Ceibos,-2.164387438323206,-79.94552559341605,937.5,B
2000,950000,Urb Camino Real Casa Tipo Mansión Km 2 Vía a Samborondon,-2.136867613756863,-79.86364074035646,475.0,C
400,480000,Linda Casa en Venta o Alquiler - 3 Dorm.,-2.03748177272571,-79.83215510345951,1200.0,A
105,46000,"Vendo Casa 2 Plantas en Huancavilca Norte, Cerca Al Parque Samanes, Av Orellana",-2.098124120001116,-79.90698734442748,438.0952380952381,C
103,88000,Casa en Venta Sauces 4 Dos Plantas,-2.124824363404159,-79.88814589913613,854.3689320388349,B
593,682000,Casa en Venta en Aires de Batan Al Lago Venta Directa Sin Intermediarios,-2.0772653,-79.87343659999999,1150.0843170320404,A
120,85000,Vendo Casa de 2 Plantas en Milan Esquinera,-2.0380771,-79.8701254,708.3333333333334,B
96,62707,Hermosas Casa en Villa Bonita a Estrenar,-2.062492611981854,-79.97456076233522,653.1979166666666,B
230,200000,Se Vende Una Casa y un Departamento Via a La Costa,-2.184807509446279,-80.00872382559129,869.5652173913044,B
175,182000,Casa en Venta en Exclusiva Urbanización Bali/ Samborondón/ Daule,-2.0516322,-79.90243290000001,1040.0,A
104,135000,Casa Rentera con Cinco Departamentos en Huancavilca Sur - Guayaquil - F. Rodríguez,-2.2349311,-79.90027129999999,1298.076923076923,A
400,370000,Vendo Casa de Estreno Moderna en Isla Mocoli,-2.103258580671302,-79.85977828919982,925.0,B
546,565000,"Proyecto Nuevo - Casa de 4 Dorm. - Vista Al Lago - Us$565,000",-2.1133347,-79.85558249999997,1034.7985347985348,A
203,275000,"Casa 3 Dorm. + Sala de Estar - Us$275,000",-2.135514132373163,-79.86448066357423,1354.679802955665,A
200,185000,Punta Esmeralda - Casa en Venta 3d - $,-2.183342031905175,-79.99406450052493,925.0,B
400,350000,Vendo Casa de Estreno Moderna en Isla Mocoli,-2.1043031,-79.86048310000001,875.0,B
1460,575000,Espectacular Mansión en Urbanización Aquamarina de Samborondón ¡Al Pie del Lago!,-2.1520745,-79.8625834,393.83561643835617,C
144,99000,"Casa en Venta en Villa Club, Esquinera $99.000",-2.0342721,-79.89789830000001,687.5,B
540,615000,Isla Mocoli Vendo Moderna Casa de Estreno Al Lago,-2.102442901125957,-79.8670732875496,1138.888888888889,A
400,385000,"Urb Laguna del Sol - Casa 3 Dorm. - Us$385,000",-2.082085910194585,-79.87252865239259,962.5,B
470,280000,"Hermosa Casa en Venta 4 Dorm, Piscina. Urb. Colinas de Los Ceibos - 280.000$",-2.159284019538617,-79.94815607409669,595.7446808510638,B
251,290000,"Casa en Venta - Km 7 - 3d - Us$290,000",-2.187145471490973,-79.97014873815459,1155.3784860557769,A
740,650000,Samborondon La Puntilla Vendo Casa con Dos Departamentos Independientes,-2.15640153911104,-79.86508279311522,878.3783783783783,B
540,850000,"Casa X Estrenar - Al Lago - de Lujo - Us$850,000",-2.0773404,-79.86969220000003,1574.0740740740741,A
530,540000,Vendo Hermosa Casa de Estreno en Aires de Batan,-2.112365509828726,-79.87111150759887,1018.8679245283018,A
400,325000,Isla Mocoli Vendo Casa Moderna de Estreno,-2.096197548642436,-79.8606440325409,812.5,B
290,295000,"Casa en Venta en Ciudad Celeste, Vía Samborondón",-2.0694324,-79.8416923,1017.2413793103449,A
122,69000,Villa del Rey Palacio 5 Nueva Venta Directa $69.000,-2.0248305,-79.91677709999999,565.5737704918033,B
72,59900,Casa en Villa España de Dos Plantas a Estrenar Norte de Gye - F. Rodríguez,-2.084494319434373,-79.92135690845947,831.9444444444445,B
268,188500,Vendo Casa Via a La Costa,-2.1896713,-80.00842519999998,703.3582089552239,B
90,58000,Casa en Venta en Mucho Lote 1 Al Norte de Gye - F. Rodríguez,-2.094771439533467,-79.91429647138062,644.4444444444445,B
406,454000,Pacifica (Mocoli) a Estrenar Moderna Casa,-2.1043031,-79.86048310000001,1118.2266009852217,A
127,80000,Vendo Hermosa Casa en Bonaterra de Oportunidad,-2.0393128,-79.8654999,629.9212598425197,B
